- Đã thêm món |Sườn nướng| vào |Phòng 101| Thành công! user: |trung| - vào ngày:  2021-05-16 13:18:37,377 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 13:19:49,140 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 13:21:54,754 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đã Thêm thông tin tài khoản: |trungagu321o| thành công! user: |trung| - vào ngày: 2021-05-16 13:23:46,402 - INFO -  ĐỒ_ÁN.Admin ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 13:23:56,378 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 13:45:47,973 - INFO -  ĐỒ_ÁN.login ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 13:48:06,148 - INFO -  ĐỒ_ÁN.login ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 13:48:35,162 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đã Xóa thông tin |Phòng 106| thành công! user: |trung| - ngày: 2021-05-16 13:48:39,642 - INFO -  ĐỒ_ÁN.Admin ------ 
- Đã thêm món |Sườn nướng| vào |Phòng 102| Thành công! user: |trung| - vào ngày:  2021-05-16 13:48:47,557 - INFO -  ĐỒ_ÁN.RoomManager ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 13:50:07,215 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 13:52:13,166 - INFO -  ĐỒ_ÁN.login ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 14:00:45,240 - INFO -  ĐỒ_ÁN.login ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 14:10:12,867 - INFO -  ĐỒ_ÁN.login ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 14:10:43,599 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 14:41:10,895 - INFO -  ĐỒ_ÁN.login ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 14:42:00,361 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đăng Xuất thành công! user: |trung| - vào ngày: 2021-05-16 14:42:12,910 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đăng nhập thành công! user: |trung1| - vào ngày: 2021-05-16 14:42:15,910 - INFO -  ĐỒ_ÁN.login ------ 
- User: |trung1| đã xem dữ liệu vào ngày:  2021-05-16 14:43:08,400 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- User: |trung1| đã xem dữ liệu vào ngày:  2021-05-16 14:43:48,669 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 14:45:33,333 - INFO -  ĐỒ_ÁN.login ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 21:14:53,460 - INFO -  ĐỒ_ÁN.login ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 21:16:11,570 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đăng Xuất thành công! user: |trung| - vào ngày: 2021-05-16 21:16:26,253 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đăng nhập thành công! user: |trung1| - vào ngày: 2021-05-16 21:16:31,551 - INFO -  ĐỒ_ÁN.login ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 22:01:01,870 - INFO -  ĐỒ_ÁN.login ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 22:02:33,691 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đã Sửa thông tin |Mực xào cà chưa | (Tên dịch vụ: |Mực xào cà chưa | -> |Mực xào cà chưa lè| ) Thành công! user: |trung| -  vào ngày: 2021-05-16 22:03:27,565 - INFO -  ĐỒ_ÁN.Admin ------ 
- Đã Sửa thông tin |Trái Cây ngũ quả| (loại dịch vụ: |Thêm Trái Cây| -> |Thêm nước uống| ) Thành công! user: |trung| - vào ngày: 2021-05-16 22:03:51,695 - INFO -  ĐỒ_ÁN.Admin ------ 
- Đã Sửa thông tin |Trái Cây ngũ quả| (loại dịch vụ: |Thêm nước uống| -> |Thêm Trái Cây| ) Thành công! user: |trung| - vào ngày: 2021-05-16 22:03:59,441 - INFO -  ĐỒ_ÁN.Admin ------ 
- Đã Thêm thông tin tên dịch vụ: |Mực xào cà chưa lè| thành công! user: |trung| - vào ngày: 2021-05-16 22:04:10,172 - INFO -  ĐỒ_ÁN.Admin ------ 
- Đã Xóa thông tin |Mực xào cà chưa lè| thành công! user: |trung| - ngày: 2021-05-16 22:04:14,448 - INFO -  ĐỒ_ÁN.Admin ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 22:11:40,027 - INFO -  ĐỒ_ÁN.login ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 22:13:01,925 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đăng nhập thành công! user: |trung| - vào ngày: 2021-05-16 22:18:05,472 - INFO -  ĐỒ_ÁN.login ------ 
- User: |trung| đã xem dữ liệu vào ngày:  2021-05-16 22:18:31,281 - INFO -  ĐỒ_ÁN.GUI.MainForm ------ 
- Đã Thêm thông tin tên loại dịch vụ: |Thêm Món ăn ne| thành công! user: |trung| - vào ngày:  2021-05-16 22:18:45,674 - INFO -  ĐỒ_ÁN.Admin ------ 
- Đã Xóa thông tin |Thêm Món ăn ne| thành công! user: |trung| - ngày:  2021-05-16 22:18:48,676 - INFO -  ĐỒ_ÁN.Admin ------ 
- Đã Thêm thông tin |Phòng 106| thành công! user: |trung| - ngày: 2021-05-16 22:19:10,011 - INFO -  ĐỒ_ÁN.Admin ------ 
- Đã Xóa thông tin |Phòng 106| thành công! user: |trung| - ngày: 2021-05-16 22:19:14,414 - INFO -  ĐỒ_ÁN.Admin ------ 
